ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency,info
DE000PB6R101,BNPP RICI Benzin (TR) Enhanced ETC,BNQG,ETC,"1,00%",,EUR,
DE000PB8R1Z8,BNPP RICI Zink (TR) Enhanced ETC,BNQR,ETC,"1,00%",,EUR,
DE000PB8R1N4,BNPP RICI Nickel (TR) Enhanced ETC,BNQQ,ETC,"1,00%",,EUR,
DE000PB8R1L8,BNPP RICI Blei (TR) Enhanced ETC,BNQT,ETC,"1,00%",,EUR,
DE000PB8R1C7,BNPP RICI Kupfer (TR) Enhanced ETC,BNQP,ETC,"1,00%",,EUR,
DE000PB8R1T1,BNPP RICI Zinn (TR) Enhanced ETC,BNQS,ETC,"1,00%",,EUR,
DE000PB8R1A1,BNPP RICI Aluminium (TR) Enhanced ETC,BNQN,ETC,"1,00%",,EUR,
DE000PB8R1E3,BNPP RICI Energie (TR) Enhanced ETC,BNQU,ETC,"1,00%",,EUR,
DE000PB8R1M6,BNPP RICI Industriemetalle (TR) Enhanced ETC,BNQV,ETC,"1,00%",,EUR,
DE000PR0R1M0,BNPP RICI Metalle (TR) Enhanced ETC,BNQW,ETC,"1,00%",,EUR,
DE000PS7G0L8,BNPP Gold ETC,BNQJ,ETC,"0,99%",,EUR,
DE000PB8PAL7,BNPP Paladium ETC,BNQL,ETC,"0,99%",,EUR,
DE000PR5RBU0,BNPP RICI Enhanced Brent Crude Oil (TR) Index USD ETC,BNQ7,ETC,"0,99%",,USD,
DE000PS701L2,BNPP Brent Crude Oil ETC,BNQA,ETC,"0,90%",,EUR,
DE000PS7WT17,BNPP WTI Oil (TR) ETC,BNQB,ETC,"0,90%",,EUR,
DE000PB6D1Z6,BNPP Gasoil (Diesel) ETC,B4N1,ETC,"0,90%",,EUR,
DE000PB6BEN9,BNPP Gasoline (Benzin) ETC,B4N2,ETC,"0,90%",,EUR,
DE000PB6GAS5,BNPP Natural Gas ETC,BNQ9,ETC,"0,90%",,EUR,
DE000PB6H1T5,BNPP Heating Oil ETC,B4N3,ETC,"0,90%",,EUR,
DE000PR5RHU7,BNPP RICI Enhanced Heating Oil (TR) Index USD ETC,B4NK,ETC,"0,99%",,USD,
DE000PR5RWU6,BNPP RICI Enhanced WTI Crude Oil (TR) Index USD ETC,B4NG,ETC,"0,99%",,USD,
DE000PR5RUM7,BNPP RICI Enhanced Metals (TR) Index USD ETC,B4NN,ETC,"0,99%",,USD,
DE000PR5RDU6,BNPP RICI Enhanced Gas Oil (TR) Index USD ETC,B4NI,ETC,"0,99%",,USD,
DE000PR5RMU7,BNPP RICI Enhanced Industrial Metals (TR) Index USD ETC,B4NM,ETC,"0,99%",,USD,
DE000PR5R0U0,BNPP RICI Enhanced Gasoline (TR) Index USD ETC,B4NJ,ETC,"0,99%",,USD,
DE000PR5RGU9,BNPP RICI Enhanced Natural Gas (TR) Index USD ETC,B4NH,ETC,"0,99%",,USD,
DE000PR5REU4,BNPP RICI Enhanced Energy (TR) Index ETC,B4NL,ETC,"0,99%",,USD,
DE000PR5RCU8,BNPP RICI Enhanced Copper (TR) Index USD ETC,B4NB,ETC,"0,99%",,USD,
DE000PR5RAU2,BNPP RICI Enhanced Aluminum (TR) Index USD ETC,B4NA,ETC,"0,99%",,USD,
DE000PR5RNU5,BNPP RICI Enhanced Nickel (TR) Index USD ETC,B4NC,ETC,"0,99%",,USD,
DE000PR5RTU2,BNPP RICI Enhanced Tin T(R) Index USD ETC,B4NE,ETC,"0,99%",,USD,
DE000PR5RZU9,BNPP RICI Enhanced Zinc (TR) Index USD ETC,B4ND,ETC,"0,99%",,USD,
DE000PR5RLU9,BNPP RICI Enhanced Lead (TR) Index USD ETC,B4NF,ETC,"0,99%",,USD,
DE000PB8LED5,BNPP Blei ETC,B4NU,ETC,"0,90%",,EUR,
DE000PB6ALU1,BNPP Aluminium ETC,B4NP,ETC,"0,90%",,EUR,
DE000PB7Z1N5,BNPP Zink (TR) ETC,B4NS,ETC,"0,90%",,EUR,
DE000PB8C0P8,BNPP Kupfer ETC,B4NQ,ETC,"0,90%",,EUR,
DE000PB8N1C1,BNPP Nickel ETC,B4NR,ETC,"0,90%",,EUR,
DE000PB8T1N2,BNPP Zinn (TR) ETC,B4NT,ETC,"0,90%",,EUR,
IE00BF4TWF63,WisdomTree Energy Enhanced,XMWK,ETC,"0,40%",,EUR,
IE00BF4TWC33,WisdomTree Industrial Metals Enhanced,XMWJ,ETC,"0,40%",,EUR,
FR0013416716,Amundi Physical Gold ETC (C),GLDA,ETC,"0,12%",,EUR,PreciousMetals
DE000PZ9REE0,BNPP RICI Enhanced Energy (ER) Index EUR Hedge ETC,B4NX,ETC,"1,20%",,EUR,
DE000PZ9REG5,BNPP RICI Enhanced Natural Gas (ER) Index EUR Hedge ETC,0GZA,ETC,"1,20%",,EUR,
DE000PZ9REW2,BNPP RICI Enhanced WTI Crude Oil (ER) Index EUR Hedge ETC,B4NZ,ETC,"1,20%",,EUR,
DE000PZ9REB6,BNPP RICI Enhanced Brent Crude Oil (ER) Index EUR Hedge ETC,B4NY,ETC,"1,20%",,EUR,
